Identifier,Subject,,,,
1918graincrop169hunt,  Grain,,,,
1929agricultural27well,  Agriculture,,,,
1930agricultural39well,  Agriculture,,,,
1931agricultural52well,  Agriculture,,,,
1932agricultural59well,  Agriculture,,,,
1933agricultural71well,  Agriculture,,,,
1934agricultural83well,  Agriculture,,,,
1935agricultural90smyt,  Agriculture,,,,
1936agricultural94wilc,  Agriculture,,,,
1937agricultural102wilc,  Agriculture,,,,
24dasweedkiller133harv,"Herbicides, Weeds",,,,
2874118upenn,  World War 1914-1918,,,,
5newsweetcherryv0806broo,  Sweet cherry,,,,
67342479,  Libraries,,,,
6870berkeleyplac00darriala,,,,,
800millionpilltr00gooz,"Prescription pricing, Drugs, Pharmaceutical industry, Consumer education, Drug Industry, Biomedical Research, Drug Therapy, M\u00e9dicaments, Industrie pharmaceutique, Consommateurs, Arzneimittelforschung, Forschungsausgaben, Arzneimittelpreis, \u00d6ffentliche F\u00f6rderung, Forschungsfinanzierung, Staatliche Einrichtung, Pharmazeutische Industrie",,,,
AnneWalshAndChrisKubickAtcLecture,"Anne Walsh, Chris Kubick, Art, Technology, Culture, Colloquium, ATC, UC Berkeley, University of California, Berkeley, Ken Goldberg, Susan Miller, Berkeley Center for New Media, BCNM",,,,
ApricotBrownRotControl,  Apricot,,,,
CompExamClaretFresnoLivermore,"Wine and wine making, Wine and wine making, Grapes",,,,
ERIC_ED019106,"ERIC Archive, College Libraries, Costs, Facsimile Transmission, Guides, Information Dissemination, Information Sources, Interlibrary Loans, Library Cooperation, Library Research, Library Services, Reference Services, Systems Development, Telephone Communications Systems, SCHIEBER, WILLIAM D., SHOFFNER, RALPH M.",,,,
ERIC_ED021591,"ERIC Archive, Automation, College Libraries, Communication (Thought Transfer), Cooperative Planning, Cost Estimates, Costs, Facsimile Transmission, Institutional Cooperation, Library Cooperation, Library Research, Networks, Planning, Systems Development, Morehouse, H.G., Shoffner, R.M.",,,,
ERIC_ED066163,"ERIC Archive, College Libraries, Employment Opportunities, Females, Inservice Education, Librarians, Library Technicians, Salaries, Sex Discrimination, Lipow, Anne, And Others",,,,
ERIC_ED067139,"ERIC Archive, Conferences, Institutional Libraries, Law Libraries, Legislation, Library Services, Prison Libraries, Prisoners, Workshops",,,,
ERIC_ED082774,"ERIC Archive, Citations (References), College Libraries, Information Services, Library Collections, Library Services, Research Needs, Selective Dissemination of Information, Bourne, Charles P., Robinson, Jo.",,,,
ERIC_ED082775,"ERIC Archive, Cataloging, Classification, College Libraries, Library Catalogs, Library Technical Processes, Subject Index Terms, Todd, Judy",,,,
ERIC_ED097883,"ERIC Archive, Books, Cost Estimates, Interlibrary Loans, Library Circulation, Library Collections, Library Cooperation, Library Research, Use Studies, Cooper, William S., And Others",,,,
ERIC_ED104411,"ERIC Archive, Books, College Libraries, Interlibrary Loans, Library Circulation, Library Cooperation, Library Networks, Library Research, Use Studies",,,,
ERIC_ED104413,"ERIC Archive, Books, College Libraries, Delivery Systems, Interlibrary Loans, Library Circulation, Library Cooperation, Library Networks, Library Research, Serials, Use Studies",,,,
ERIC_ED107280,"ERIC Archive, Cataloging, Citations (References), College Libraries, Computers, Cost Effectiveness, Databases, Indexes, Information Retrieval, Information Storage, Information Systems, Library Automation, Library Technical Processes, Minicomputers, Online Systems, Union Catalogs",,,,
ERIC_ED112931,"ERIC Archive, College Libraries, Higher Education, Interlibrary Loans, Library Circulation, Library Collections, Library Cooperation, Library Materials, Library Research, Library Services, Statistical Data, Tables (Data), Use Studies",,,,
ERIC_ED115310,"ERIC Archive, Catalogs, College Libraries, Interlibrary Loans, Library Circulation, Library Collections, Library Cooperation, Library Surveys, Off Campus Facilities, Use Studies",,,,
ERIC_ED129234,"ERIC Archive, Books, College Libraries, Cost Effectiveness, Costs, Library Collections, Library Equipment, Library Research, Stealing",,,,
ERIC_ED129340,"ERIC Archive, Bibliographies, Catalogs, College Libraries, Government Publications, Library Guides, Library Instruction, Library Materials, Library Skills, Microforms, Newspapers, Periodicals, Reference Materials, Search Strategies, Textbooks, Vocabulary",,,,
ERIC_ED164147,"ERIC Archive, Administrative Policy, College Libraries, Delivery Systems, Ethnic Studies, Interviews, Library Acquisition, Library Administration, Library Cooperation, Library Role, Library Services, Mexican Americans, Organization, Program Improvement",,,,
